V1,V2,V3
None,2,155
None,2,249
None,2,382
None,2,426
None,2,678
None,2,770
None,2,791
None,2,1031
None,2,1273
None,2,1391
None,2,1446
None,2,1520
None,3,1215
None,4,1492
None,5,1739
None,6,915
None,7,5
None,7,722
None,8,852
None,8,1873
None,8,1999
None,12,620
None,12,1789
None,14,1560
None,15,91
None,15,1835
None,15,1979
None,16,961
None,17,451
None,17,1909
None,18,33
None,18,791
None,20,487
None,20,508
None,20,987
None,20,1283
None,20,1306
None,20,1343
None,21,662
None,21,737
None,22,1415
None,23,1502
None,26,1523
None,26,1994
None,27,409
None,27,1015
None,28,851
None,29,527
None,30,141
None,30,873
None,30,926
None,31,1926
None,32,255
None,32,645
None,33,715
None,33,1248
None,34,1455
None,34,1588
None,34,1843
None,35,1040
None,36,356
None,36,498
None,36,890
None,36,997
None,36,1204
None,37,623
None,38,200
None,38,832
None,38,1374
None,39,1059
None,41,980
None,41,1143
None,42,471
None,42,765
None,42,1484
None,43,1291
None,44,1171
None,45,1739
None,46,432
None,47,1530
None,48,1193
None,49,74
None,49,574
None,50,386
None,50,721
None,50,1983
None,51,841
None,51,1949
None,52,2
None,52,592
None,52,1098
None,53,1921
None,54,1393
None,54,1801
None,55,278
None,55,305
None,56,25
None,56,227
None,56,959
None,56,1052
None,56,1244
None,56,1848
None,57,559
None,57,931
None,58,1875
None,59,450
None,59,892
None,59,911
None,60,625
None,60,860
None,60,1361
None,61,1017
None,61,1302
None,61,1484
None,62,142
None,62,1167
None,63,402
None,63,1200
None,64,194
None,64,423
None,66,341
None,66,1108
None,67,109
None,67,840
None,67,1063
None,68,1126
None,68,1230
None,68,1754
None,70,1571
None,71,371
None,71,978
None,72,277
None,72,306
None,73,1458
None,74,1988
None,76,1516
None,76,1786
None,77,760
None,77,809
None,77,953
None,78,1480
None,79,673
None,79,1152
None,80,426
None,81,555
None,81,1967
None,83,63
None,84,32
None,84,1044
None,85,1431
None,85,1563
None,85,1768
None,86,911
None,86,1656
None,86,1918
None,88,1704
None,89,1061
None,89,1225
None,90,1175
None,91,334
None,91,585
None,92,857
None,92,1307
None,94,971
None,95,146
None,95,1100
