V1,V2,V3
t,2,52
f,2,108
f,2,194
t,2,255
t,2,302
t,2,377
t,2,480
f,2,530
t,2,554
l,2,653
f,2,803
f,2,1151
o,2,1296
f,2,1342
l,2,1370
l,2,1423
l,2,1443
l,2,1490
l,2,1520
l,2,1539
l,2,1601
f,2,1662
t,2,1808
t,2,1822
t,2,1952
t,3,26
t,3,609
t,3,754
t,3,891
l,3,1504
t,4,1770
t,5,694
t,7,1966
f,8,920
t,8,1063
l,8,1267
l,8,1466
l,8,1935
l,9,850
l,10,74
f,10,935
t,10,1118
f,11,446
t,11,671
t,11,722
t,11,770
t,11,1183
t,11,1248
t,12,340
f,13,519
l,13,1620
f,14,413
t,14,641
l,14,1403
t,14,1999
o,15,214
f,15,488
t,16,322
t,16,1014
t,16,1557
t,17,105
t,17,571
l,17,1217
t,17,1785
t,18,373
t,18,508
t,18,835
l,18,1592
l,18,1605
t,19,817
l,19,1419
l,19,1458
l,19,1480
f,19,1675
t,19,1729
t,19,1872
l,20,64
t,20,169
o,20,292
l,20,1542
l,21,1348
t,21,1642
t,22,914
f,23,943
f,23,966
t,23,988
l,25,1628
l,26,1521
t,26,1750
t,27,315
t,27,682
f,27,888
t,27,1943
t,28,391
f,28,412
t,28,1900
t,29,798
t,29,1928
l,30,221
l,30,1293
l,31,1582
t,31,1982
t,32,130
t,32,147
t,32,1779
t,33,2
o,33,290
t,34,163
t,34,1029
t,35,712
t,35,828
l,35,1463
l,35,1563
t,35,1837
l,36,433
t,36,653
f,36,1607
f,37,856
l,37,1217
l,37,1424
t,38,756
f,39,58
f,39,936
l,39,1311
l,39,1338
t,39,1753
l,40,1367
t,41,535
t,41,590
t,41,975
l,41,1267
t,41,1643
t,42,18
o,42,218
t,42,348
t,42,684
t,42,1720
t,42,1816
t,42,1954
f,43,201
t,43,518
l,43,1438
t,43,1503
t,43,1792
t,44,1060
f,44,1151
l,44,1405
l,45,44
t,45,1098
t,47,1010
l,47,1290
l,47,1457
l,48,250
l,48,1982
l,49,99
t,49,638
t,49,803
l,49,1565
t,49,1580
l,49,1911
t,50,562
l,50,874
l,51,30
f,51,460
t,51,730
t,51,775
t,51,897
t,51,1081
l,51,1243
f,51,1672
t,51,1852
t,52,312
l,52,1357
t,52,1887
f,53,482
t,55,110
t,55,749
t,55,1730
t,55,1766
t,57,392
t,58,530
t,58,610
t,59,175
t,59,586
t,59,700
l,59,1534
t,60,137
t,60,667
f,60,1478
f,60,1603
t,60,1874
l,61,1434
