V1,V2,V3
None,2,113
None,2,382
None,2,518
None,2,769
None,2,827
None,2,913
None,2,967
None,2,1039
None,2,1148
None,2,1203
None,2,1302
None,2,1351
None,2,1386
None,2,1496
None,2,1514
None,2,1535
None,2,1601
None,2,1623
None,2,1660
None,2,1686
None,2,1718
None,2,1878
None,2,1914
None,2,1956
None,3,15
None,3,261
None,3,498
None,3,639
None,3,672
None,3,863
None,3,1865
None,4,559
None,4,725
None,4,811
None,4,1222
None,5,200
None,5,460
None,5,576
None,5,1134
None,6,179
None,6,245
None,6,842
None,6,1472
None,6,1927
None,7,219
None,7,994
None,7,1273
None,8,1081
None,8,1986
None,9,53
None,9,313
None,9,1769
None,10,532
None,10,795
None,10,936
None,10,1016
None,10,1334
None,11,420
None,11,695
None,11,884
None,11,956
None,11,1578
None,12,1453
None,13,288
None,13,486
None,13,1829
None,14,91
None,14,1848
None,15,611
None,15,707
None,15,761
None,15,1424
None,15,1559
None,15,1807
None,16,589
None,16,822
None,16,1108
None,17,400
None,17,973
None,17,1029
None,17,1715
None,18,177
None,18,354
None,18,433
None,18,511
None,18,685
None,18,745
None,18,912
None,18,1596
None,19,18
None,19,806
None,19,1166
None,19,1497
None,19,1940
None,20,127
None,20,870
None,20,993
None,20,1322
None,20,1375
None,20,1407
None,20,1645
None,20,1999
None,21,543
None,22,640
None,22,784
None,22,846
None,22,1079
None,22,1484
None,22,1912
None,23,526
None,23,573
None,23,896
None,23,1006
None,23,1194
None,23,1984
None,24,620
None,24,720
None,24,948
None,24,1756
None,26,1050
None,26,1799
None,27,262
None,27,304
None,27,933
None,27,1468
None,29,203
None,29,504
None,29,1532
None,29,1889
None,30,821
None,30,1346
None,31,663
None,31,741
None,31,1306
None,31,1657
None,31,1738
None,31,1856
None,32,479
None,32,550
None,32,989
None,32,1683
None,34,16
None,34,34
None,34,374
None,34,769
None,34,909
None,34,1288
None,34,1923
None,35,126
None,35,247
None,35,491
None,35,583
None,35,792
None,35,837
None,35,968
None,36,322
None,36,520
None,36,1006
None,36,1828
None,36,1958
None,37,54
None,37,1615
None,37,1971
None,38,163
None,38,926
None,38,1806
None,38,1903
None,39,627
None,39,693
None,39,756
None,39,861
None,39,888
None,39,1066
None,39,1135
None,40,355
None,40,595
None,40,1775
None,40,1934
None,41,720
None,41,1262
None,41,1382
None,41,1536
None,42,1585
None,42,1879
None,43,607
None,44,735
None,44,1452
None,44,1479
None,45,196
None,46,145
None,46,415
None,46,1656
None,46,1758
None,47,279
None,47,548
None,47,813
None,47,915
None,47,992
None,48,492
None,48,949
None,48,1090
None,49,513
None,49,575
None,49,669
None,50,36
None,50,183
None,50,479
None,50,1146
None,50,1316
None,51,617
None,51,1437
None,52,90
None,52,826
None,52,1108
None,52,1692
None,52,1948
None,53,527
None,53,848
None,53,1023
None,53,1073
None,53,1224
None,53,1396
None,53,1719
None,53,1991
None,54,874
None,54,1047
None,54,1133
None,54,1296
None,54,1808
None,56,756
None,56,804
None,56,905
None,57,249
None,58,741
None,58,1505
None,59,69
None,59,456
None,59,630
None,59,1422
None,59,1463
None,60,706
None,61,929
None,61,1365
None,62,500
None,62,769
None,62,888
None,62,1179
None,62,1338
None,62,1761
None,62,1868
None,63,17
None,63,337
None,63,571
None,63,690
None,63,1607
None,64,389
None,64,541
None,64,958
None,66,151
None,66,611
None,67,305
None,67,673
None,67,849
None,67,1291
None,67,1667
None,67,1913
None,68,724
None,68,791
None,68,1129
None,68,1590
None,69,597
None,70,111
None,70,582
None,70,916
None,70,1448
None,70,1779
None,71,524
None,71,557
None,71,834
None,71,1208
None,71,1385
None,71,1995
None,72,703
None,72,1036
None,72,1837
None,73,1154
None,74,231
None,74,417
None,74,484
None,74,1814
None,75,267
None,75,898
None,75,969
None,75,1051
None,75,1748
None,75,1885
None,76,200
None,76,779
None,76,806
None,76,1090
None,76,1518
None,77,735
None,77,1067
None,78,472
None,79,543
None,79,570
None,79,823
None,79,1369
None,79,1696
None,80,357
None,80,643
None,80,677
None,80,931
None,80,1130
None,80,1482
None,81,50
None,81,994
None,81,1796
None,82,623
None,82,1608
None,82,1933
None,83,91
None,83,321
None,83,1023
None,83,1636
None,83,1856
None,84,581
None,84,711
None,84,1331
None,84,1651
None,85,746
None,85,839
None,85,876
None,85,1280
None,86,503
None,86,608
None,86,919
None,86,1235
None,87,486
None,87,1767
None,87,1978
None,88,30
None,88,249
None,88,529
None,88,696
None,88,808
None,88,888
None,88,1195
None,88,1872
None,89,2
None,89,216
None,89,404
None,89,758
None,89,1950
None,90,787
None,90,906
None,90,943
None,90,1430
None,90,1470
None,91,662
None,91,960
None,92,1008
None,92,1453
None,93,451
None,93,719
None,93,733
None,93,1301
None,93,1590
None,93,1711
None,94,302
None,94,824
None,94,1571
None,94,1743
None,95,231
